TV,Radio,Newspaper,Sales
35.401771,38.973877,43.278880,16.988013
288.569299,32.124164,61.528709,31.859070
272.574207,38.949818,88.404683,28.575575
209.912140,6.727610,106.368346,19.479676
79.760988,26.803402,110.526864,16.014037
290.752913,25.711144,60.435951,27.608484
233.625271,42.878607,62.433014,27.779033
215.067057,23.139968,95.984449,24.530620
134.808451,19.254475,37.734083,16.203851
81.672469,31.978164,100.485883,16.511989
28.917289,13.323166,59.296998,10.211689
270.780719,6.988421,13.902807,22.868321
136.732887,23.893864,8.647098,21.102772
60.709009,20.844468,101.039185,13.355339
91.786987,11.628497,6.668150,12.781745
173.765871,18.375591,33.673372,19.543745
53.031835,18.319622,40.095605,12.699146
256.984285,16.374778,20.759333,24.345133
227.555859,18.973204,37.667204,17.098173
215.838887,34.287167,89.123108,22.501659
129.627912,14.843824,1.761941,14.457081
188.192652,47.442896,99.260811,20.739264
175.229391,45.817401,102.785763,22.541367
194.953980,24.045521,44.671389,19.212677
25.333296,16.418060,18.433548,11.025976
124.742221,26.771739,72.100849,20.556221
12.484252,42.428024,14.360707,15.253268
148.197246,32.629367,43.790323,18.386181
98.958364,40.219591,115.011502,19.713136
43.357257,26.636114,119.455737,16.718754
31.020890,31.645881,92.652587,12.929379
176.293372,14.407781,37.315381,16.474911
51.177891,36.744658,82.519806,17.885848
277.536036,10.120230,84.648764,22.035726
174.318342,34.739906,46.541003,23.396227
104.060941,43.035953,76.906636,20.428812
177.274647,6.605142,1.287317,18.123024
6.841161,30.718987,25.086919,11.222093
287.567764,4.754787,63.010596,21.827684
144.691031,36.285781,19.650157,20.460326
234.820568,4.224661,19.908824,16.643807
24.819000,46.796991,100.356515,14.368278
145.997499,6.870397,118.695960,17.112665
147.212098,47.944012,66.716331,22.698267
281.347936,40.044209,100.688368,26.363555
171.518416,29.684100,118.838600,21.097157
142.046820,39.131205,16.991507,23.542307
80.092699,39.755742,53.789474,14.041855
99.470699,47.301353,47.108726,17.938836
156.201721,12.669168,9.605914,15.056787
131.673438,29.503795,90.639621,22.173527
6.483624,4.752460,52.053483,9.011956
247.887577,30.808285,56.319232,26.424279
268.848232,8.564565,18.080757,19.230293
42.074727,28.247531,21.711198,12.245333
166.210843,28.621526,108.852435,21.692001
32.572722,23.299258,5.357891,13.145307
201.672028,26.131589,27.942274,22.790932
84.370135,38.196170,35.047120,18.061911
197.826790,39.962236,58.823705,24.815211
218.098384,24.607661,70.373421,22.666487
230.594248,29.979672,59.194797,25.476885
32.322284,46.561812,10.093840,19.069225
274.803554,5.986679,29.240094,18.107692
69.064197,5.855178,101.230606,7.328445
11.223767,4.385451,76.510644,10.701256
166.455741,32.893164,77.897886,23.874354
111.276685,20.930415,80.424391,14.571542
248.936923,38.716071,91.548362,22.859730
242.475442,33.561571,6.973018,25.161112
95.141668,16.681888,43.993006,16.758151
285.869819,44.918327,64.743292,33.004158
87.275351,38.126607,40.614778,19.616451
154.517139,13.526747,101.337465,16.599740
76.789527,18.209601,57.908701,12.582345
280.813071,15.721999,92.235311,23.751405
49.382345,7.880582,102.241862,10.677607
13.473186,7.389169,60.574978,7.283117
130.529118,46.806373,109.146269,26.653949
297.712669,21.895202,70.454873,29.190160
267.503180,19.165991,102.032916,26.060457
224.582406,36.484285,40.870895,22.958278
267.237747,27.649653,59.858035,26.933194
268.033992,46.806999,63.769325,30.195409
155.657508,39.015075,12.597566,22.779171
94.778716,23.968478,47.826301,18.777954
231.603730,18.817974,110.080521,23.317812
198.498379,49.331577,75.699869,27.616869
112.097319,35.888012,21.300790,20.536972
28.340000,47.559733,40.662676,18.256309
224.036883,5.923929,22.992361,15.330630
78.738155,42.526684,2.978776,19.034499
281.043945,31.853694,111.295255,25.766449
72.291173,6.096084,53.784879,9.277435
36.827380,29.412900,36.904209,17.879268
249.333802,34.304818,71.817263,29.141168
45.985295,0.615134,0.877735,12.057337
53.780492,22.715898,33.362653,14.545719
179.814837,41.269976,84.364016,26.452017
262.368612,14.767951,76.052373,22.631432
58.930400,22.927404,117.816714,15.055255
93.097102,22.115706,74.442925,13.763520
